iter	Passed	Remaining
860	3383	4476
861	3387	4471
862	3391	4468
863	3395	4463
864	3398	4459
865	3403	4456
866	3406	4451
867	3409	4446
868	3414	4443
869	3417	4438
870	3431	4448
871	3436	4445
872	3439	4440
873	3442	4435
874	3447	4432
875	3450	4427
876	3453	4422
877	3458	4419
878	3461	4414
879	3464	4409
880	3469	4407
881	3473	4402
882	3476	4398
883	3481	4395
884	3485	4391
885	3489	4386
886	3494	4385
887	3498	4380
888	3502	4376
889	3507	4373
890	3510	4369
891	3514	4364
892	3518	4362
893	3522	4357
894	3526	4353
895	3540	4362
896	3543	4357
897	3546	4352
898	3551	4349
899	3554	4344
900	3557	4339
901	3562	4336
902	3565	4331
903	3569	4327
904	3573	4323
905	3576	4319
906	3580	4314
907	3584	4311
908	3587	4306
909	3590	4301
910	3595	4298
911	3598	4293
912	3601	4288
913	3606	4284
914	3609	4280
915	3612	4275
916	3617	4271
917	3620	4267
918	3623	4262
919	3628	4258
920	3631	4254
921	3634	4248
922	3639	4246
923	3642	4241
924	3646	4237
925	3650	4234
926	3653	4229
927	3656	4224
928	3661	4221
929	3664	4216
930	3668	4212
931	3672	4208
932	3675	4203
933	3678	4198
934	3683	4195
935	3686	4190
936	3689	4185
937	3694	4182
938	3697	4177
939	3700	4172
940	3705	4169
941	3708	4164
942	3711	4159
943	3715	4156
944	3718	4151
945	3722	4147
946	3726	4143
947	3729	4138
948	3732	4133
949	3737	4130
950	3740	4125
951	3743	4120
952	3747	4117
953	3751	4112
954	3754	4108
955	3759	4105
956	3762	4100
957	3765	4095
958	3770	4092
959	3773	4087
960	3776	4082
961	3780	4079
962	3784	4074
963	3787	4070
964	3792	4067
965	3795	4062
966	3798	4058
967	3803	4054
968	3806	4049
969	3809	4044
970	3813	4041
971	3816	4036
972	3820	4032
973	3824	4028
974	3827	4024
975	3831	4019
976	3835	4016
977	3838	4011
978	3841	4006
979	3846	4003
980	3849	3998
981	3852	3993
982	3857	3990
983	3860	3986
984	3864	3981
985	3868	3978
986	3872	3974
987	3875	3969
988	3879	3966
989	3882	3961
990	3886	3956
991	3890	3953
992	3893	3948
993	3896	3943
994	3901	3940
995	3904	3935
996	3908	3931
997	3912	3928
998	3915	3923
999	3918	3918
1000	3923	3915
1001	3926	3911
1002	3930	3906
1003	3934	3903
1004	3938	3899
1005	3941	3894
1006	3946	3891
1007	3967	3904
1008	3970	3899
1009	3975	3896
1010	3978	3892
1011	3981	3887
1012	3986	3884
1013	3990	3879
1014	3993	3874
1015	3997	3871
1016	4000	3867
1017	4004	3862
1018	4008	3859
1019	4012	3854
1020	4015	3850
1021	4019	3846
1022	4022	3841
1023	4025	3837
1024	4030	3833
1025	4033	3829
1026	4036	3824
1027	4041	3821
1028	4045	3817
1029	4048	3812
1030	4052	3809
1031	4056	3804
1032	4059	3799
1033	4063	3796
1034	4077	3801
1035	4080	3796
1036	4085	3793
1037	4088	3789
1038	4092	3784
1039	4096	3781
1040	4100	3777
1041	4103	3772
1042	4108	3769
1043	4111	3764
1044	4114	3760
1045	4119	3757
1046	4122	3752
1047	4125	3747
1048	4130	3744
1049	4133	3740
1050	4136	3735
1051	4141	3732
1052	4144	3727
1053	4148	3723
1054	4152	3719
1055	4156	3715
1056	4159	3710
1057	4164	3707
1058	4167	3703
1059	4170	3698
1060	4175	3695
1061	4179	3691
1062	4182	3686
1063	4187	3683
1064	4191	3679
1065	4194	3675
1066	4199	3671
1067	4202	3667
1068	4205	3662
1069	4210	3659
1070	4213	3655
1071	4217	3650
1072	4221	3647
1073	4224	3642
1074	4228	3638
1075	4233	3635
1076	4236	3630
1077	4239	3626
1078	4244	3623
