game_id,date,team_1,team_2,betonline_line,bovada_line,mybookie_line,predicted_total,actual_total,confidence,good_bet_score,over_best_book,over_odds_american,over_odds_decimal,over_potential_profit,under_best_book,under_odds_american,under_odds_decimal,under_potential_profit
20241122_Saint Joseph's_Texas,2024-11-22,Saint Joseph's,Texas,150.0,149.5,150.0,153.3,125,0.7471,0.7814,MyBookie,-109.0,1.919,9.19,Betonline,-110.0,1.909,9.09
20241122_Saint Louis_Wichita St.,2024-11-22,Saint Louis,Wichita St.,154.5,155.0,154.8,159.0,151,0.7227,0.9424,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.924,9.24
20241122_San Diego_Southern Utah,2024-11-22,San Diego,Southern Utah,151.5,151.0,151.0,153.7,139,0.6769,0.7015,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Seton Hall_Vanderbilt,2024-11-22,Seton Hall,Vanderbilt,134.0,134.0,133.8,135.3,136,0.5931,0.6267,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.93,9.3
20241122_South Dakota_Southern Indiana,2024-11-22,South Dakota,Southern Indiana,154.0,153.0,153.6,149.7,175,0.2156,0.0357,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.914,9.14
20241122_Southeast Missouri St._UNC Asheville,2024-11-22,Southeast Missouri St.,UNC Asheville,153.5,153.0,153.4,151.9,136,0.3692,0.1858,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Southeastern Louisiana_Wyoming,2024-11-22,Southeastern Louisiana,Wyoming,141.5,141.0,141.3,142.2,125,0.5538,0.4537,MyBookie,-109.0,1.914,9.14,Betonline,-110.0,1.909,9.09
20241122_St. John's_Virginia,2024-11-22,St. John's,Virginia,131.0,131.5,131.5,129.6,135,0.3929,0.0864,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_St. Thomas_Wofford,2024-11-22,St. Thomas,Wofford,142.0,142.1,142.1,142.9,154,0.5594,0.7397,Betonline,-110.0,1.909,9.09,Bovada,-110.0,1.913,9.13
20241122_Syracuse_Texas Tech,2024-11-22,Syracuse,Texas Tech,155.0,155.0,154.8,153.5,153,0.38,0.427,MyBookie,-109.0,1.919,9.19,Betonline,-110.0,1.909,9.09
20241122_UC Irvine_Weber St.,2024-11-22,UC Irvine,Weber St.,137.5,136.5,136.8,139.8,180,0.6788,0.6976,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_UCF_Wisconsin,2024-11-22,UCF,Wisconsin,148.5,149.0,148.4,148.0,156,0.4597,0.3354,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.922,9.22
20241122_Utah_Utah Tech,2024-11-22,Utah,Utah Tech,154.0,154.5,154.3,157.1,137,0.7203,0.853,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Akron_Nebraska Omaha,2024-11-23,Akron,Nebraska Omaha,144.5,145.0,145.1,145.8,176,0.5912,0.485,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Alabama A&M_Coastal Carolina,2024-11-23,Alabama A&M,Coastal Carolina,135.5,136.5,135.7,137.3,147,0.6411,0.7531,Betonline,-110.0,1.909,9.09,MyBookie,-110.0,1.912,9.12
20241123_Alabama St._Lamar,2024-11-23,Alabama St.,Lamar,149.0,149.0,148.7,146.7,152,0.3307,0.2637,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Albany_UMKC,2024-11-23,Albany,UMKC,143.5,143.0,143.0,145.2,132,0.6369,0.7481,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241123_Bellarmine_Bowling Green,2024-11-23,Bellarmine,Bowling Green,146.5,146.5,146.5,143.7,148,0.2876,0.1566,MyBookie,-110.0,1.909,9.09,MyBookie,-110.0,1.909,9.09
20241123_Boston University_UMBC,2024-11-23,Boston University,UMBC,144.5,144.5,144.2,144.0,146,0.466,0.3913,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.921,9.21
20241123_Brown_Canisius,2024-11-23,Brown,Canisius,143.5,143.0,143.2,146.0,159,0.6837,0.8405,Betonline,-107.0,1.935,9.35,Bovada,-110.0,1.909,9.09
20241123_Bucknell_Rider,2024-11-23,Bucknell,Rider,142.0,142.0,141.8,139.8,110,0.3287,0.0385,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.918,9.18
20241123_BYU_Mississippi Valley St.,2024-11-23,BYU,Mississippi Valley St.,144.0,144.0,144.1,145.1,130,0.5759,0.428,MyBookie,-108.0,1.922,9.22,Betonline,-110.0,1.909,9.09
20241123_Cal Baptist_Eastern Washington,2024-11-23,Cal Baptist,Eastern Washington,153.0,152.5,152.8,150.8,147,0.3268,0.1378,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.916,9.16
20241123_Cal Poly_Saint Mary's,2024-11-23,Cal Poly,Saint Mary's,149.5,152.0,150.2,148.2,146,0.3953,0.247,Bovada,-105.0,1.952,9.52,Betonline,-103.0,1.971,9.71
20241123_Cal St. Bakersfield_FIU,2024-11-23,Cal St. Bakersfield,FIU,145.0,144.5,144.7,143.4,149,0.3783,0.1751,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.922,9.22
20241123_Charleston Southern_Furman,2024-11-23,Charleston Southern,Furman,148.0,148.5,147.8,152.9,113,0.8231,0.9596,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Charlotte_LIU,2024-11-23,Charlotte,LIU,139.5,139.5,139.0,139.6,155,0.5081,0.3975,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Cincinnati_Georgia Tech,2024-11-23,Cincinnati,Georgia Tech,149.5,150.0,149.7,151.7,139,0.6717,0.7548,Bovada,105.0,2.05,10.5,Betonline,-105.0,1.952,9.52
20241123_Cleveland St._Kent St.,2024-11-23,Cleveland St.,Kent St.,136.5,136.0,136.0,137.8,120,0.6056,0.581,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.915,9.15
20241123_Columbia_Stony Brook,2024-11-23,Columbia,Stony Brook,155.5,155.0,155.0,155.8,145,0.5119,0.5441,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241123_Delaware St._Mount St. Mary's,2024-11-23,Delaware St.,Mount St. Mary's,138.0,138.0,137.8,140.4,142,0.6543,0.7032,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.925,9.25
20241123_Delaware_Vermont,2024-11-23,Delaware,Vermont,137.0,137.0,137.2,139.6,146,0.6821,0.7405,Betonline,-110.0,1.909,9.09,Bovada,-105.0,1.952,9.52
20241123_DePaul_Northern Illinois,2024-11-23,DePaul,Northern Illinois,144.5,143.5,144.3,146.8,150,0.6806,0.7469,Bovada,-105.0,1.952,9.52,MyBookie,-109.0,1.915,9.15
20241123_Detroit Mercy_Wake Forest,2024-11-23,Detroit Mercy,Wake Forest,145.0,144.0,144.3,144.8,124,0.4829,0.2625,Betonline,-105.0,1.952,9.52,MyBookie,-112.0,1.892,8.92
20241123_East Carolina_Illinois Chicago,2024-11-23,East Carolina,Illinois Chicago,150.0,150.0,149.8,151.7,127,0.6392,0.5849,MyBookie,-109.0,1.915,9.15,MyBookie,-110.0,1.909,9.09
20241123_Fairfield_Yale,2024-11-23,Fairfield,Yale,140.0,140.0,140.2,141.8,157,0.6398,0.6748,MyBookie,-109.0,1.919,9.19,Betonline,-110.0,1.909,9.09
20241123_Florida Gulf Coast_Northeastern,2024-11-23,Florida Gulf Coast,Northeastern,134.5,134.0,134.3,132.8,114,0.3609,0.1745,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241123_Fresno St._Long Beach St.,2024-11-23,Fresno St.,Long Beach St.,142.5,142.0,142.6,140.6,141,0.3647,0.189,MyBookie,-109.0,1.915,9.15,MyBookie,-110.0,1.91,9.1
20241123_George Washington_Louisiana,2024-11-23,George Washington,Louisiana,154.2,154.2,154.2,153.6,157,0.4507,0.4918,Betonline,-108.0,1.924,9.24,Betonline,-112.0,1.896,8.96
20241123_Georgetown_Saint Francis,2024-11-23,Georgetown,Saint Francis,144.5,144.5,144.5,145.3,147,0.5689,0.5519,Betonline,-110.0,1.909,9.09,Bovada,-105.0,1.952,9.52
20241123_Georgia Southern_West Georgia,2024-11-23,Georgia Southern,West Georgia,156.5,155.0,156.0,156.0,118,0.4547,0.3916,MyBookie,-110.0,1.911,9.11,Bovada,-105.0,1.952,9.52
20241123_Georgia_Marquette,2024-11-23,Georgia,Marquette,152.5,152.5,152.5,153.9,149,0.6094,0.5706,Bovada,-105.0,1.952,9.52,Betonline,-105.0,1.952,9.52
20241123_Idaho_Southern Utah,2024-11-23,Idaho,Southern Utah,147.0,147.0,146.8,149.7,149,0.698,0.755,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.925,9.25
20241123_Illinois St._UAB,2024-11-23,Illinois St.,UAB,142.5,142.5,142.6,140.5,167,0.3418,0.0657,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.926,9.26
20241123_Illinois_Maryland Eastern Shore,2024-11-23,Illinois,Maryland Eastern Shore,154.0,154.0,154.0,150.4,127,0.2587,0.0463,MyBookie,-110.0,1.91,9.1,Bovada,-105.0,1.952,9.52
20241123_IU Indy_South Carolina St.,2024-11-23,IU Indy,South Carolina St.,144.5,144.5,144.6,144.2,134,0.4817,0.2505,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.926,9.26
20241123_Jacksonville St._James Madison,2024-11-23,Jacksonville St.,James Madison,140.5,140.5,140.5,139.7,136,0.4361,0.2591,MyBookie,-110.0,1.909,9.09,MyBookie,-109.0,1.915,9.15
20241123_La Salle_Stetson,2024-11-23,La Salle,Stetson,147.0,146.5,146.8,145.4,169,0.3711,0.2485,MyBookie,-109.0,1.915,9.15,MyBookie,-110.0,1.909,9.09
20241123_Le Moyne_Texas A&M Corpus Chris,2024-11-23,Le Moyne,Texas A&M Corpus Chris,151.5,151.5,151.5,155.0,143,0.7502,0.7865,MyBookie,-110.0,1.909,9.09,MyBookie,-110.0,1.909,9.09
20241123_Loyola Chicago_Tulsa,2024-11-23,Loyola Chicago,Tulsa,147.5,148.0,147.8,148.3,142,0.5593,0.5826,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241123_Marist_New Hampshire,2024-11-23,Marist,New Hampshire,138.0,138.5,138.1,136.3,103,0.3767,0.1579,MyBookie,-112.0,1.89,8.9,Betonline,-105.0,1.952,9.52
20241123_Marshall_Purdue,2024-11-23,Marshall,Purdue,149.5,150.0,149.6,153.2,125,0.7493,0.8416,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Massachusetts_Temple,2024-11-23,Massachusetts,Temple,148.5,148.0,148.2,150.4,167,0.6481,0.6627,MyBookie,-110.0,1.913,9.13,MyBookie,-110.0,1.913,9.13
20241123_Milwaukee_Wofford,2024-11-23,Milwaukee,Wofford,147.5,148.0,147.6,144.9,150,0.2991,0.1569,MyBookie,-108.0,1.928,9.28,Betonline,-110.0,1.909,9.09
20241123_Monmouth_Presbyterian,2024-11-23,Monmouth,Presbyterian,139.0,140.0,139.2,137.2,132,0.3621,0.2305,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241123_New Mexico St._UNLV,2024-11-23,New Mexico St.,UNLV,142.0,142.0,142.0,141.7,137,0.4764,0.3093,MyBookie,-108.0,1.922,9.22,Betonline,-110.0,1.909,9.09
20241123_Northern Colorado_Prairie View A&M,2024-11-23,Northern Colorado,Prairie View A&M,158.5,159.0,159.1,154.3,212,0.2822,0.1065,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Portland St._St. Thomas,2024-11-23,Portland St.,St. Thomas,152.5,152.0,152.0,154.0,156,0.6104,0.6385,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Queens_USC Upstate,2024-11-23,Queens,USC Upstate,157.0,155.5,156.2,160.5,172,0.7548,0.74,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Quinnipiac_UMass Lowell,2024-11-23,Quinnipiac,UMass Lowell,153.5,153.0,153.4,153.0,150,0.4608,0.3697,MyBookie,-107.0,1.931,9.31,Betonline,-110.0,1.909,9.09
20241123_Santa Clara_Stanford,2024-11-23,Santa Clara,Stanford,147.0,147.5,147.1,150.5,140,0.7612,0.8711,MyBookie,-110.0,1.913,9.13,MyBookie,-110.0,1.913,9.13
20241123_Stephen F. Austin_Youngstown St.,2024-11-23,Stephen F. Austin,Youngstown St.,128.5,130.5,129.3,129.9,121,0.6016,0.4883,MyBookie,-109.0,1.919,9.19,Betonline,-110.0,1.909,9.09
20241123_Toledo_UC San Diego,2024-11-23,Toledo,UC San Diego,155.0,154.5,154.5,156.8,125,0.6276,0.6272,Betonline,-110.0,1.909,9.09,Bovada,-108.0,1.928,9.28
20241124_Air Force_Mercyhurst,2024-11-24,Air Force,Mercyhurst,129.0,128.0,128.2,131.7,130,0.7025,0.7058,Betonline,100.0,2.0,10.0,MyBookie,-113.0,1.889,8.89
20241124_Akron_Alabama St.,2024-11-24,Akron,Alabama St.,147.0,147.5,147.1,145.5,175,0.3834,0.2258,Betonline,-110.0,1.909,9.09,MyBookie,-110.0,1.911,9.11
20241124_Albany_American,2024-11-24,Albany,American,135.5,135.5,135.4,137.0,158,0.622,0.7051,Bovada,-110.0,1.909,9.09,Betonline,100.0,2.0,10.0
