game_id,date,team_1,team_2,betonline_line,bovada_line,mybookie_line,predicted_total,actual_total,confidence,good_bet_score,over_best_book,over_odds_american,over_odds_decimal,over_potential_profit,under_best_book,under_odds_american,under_odds_decimal,under_potential_profit
20241124_Arkansas Pine Bluff_Missouri,2024-11-24,Arkansas Pine Bluff,Missouri,157.5,158.0,157.7,157.2,175,0.4772,0.5161,MyBookie,-113.0,1.883,8.83,Betonline,-105.0,1.952,9.52
20241124_Boston College_Old Dominion,2024-11-24,Boston College,Old Dominion,143.0,144.5,143.3,145.7,134,0.7089,0.7214,MyBookie,-109.0,1.915,9.15,MyBookie,-110.0,1.91,9.1
20241124_Bryant_St. Bonaventure,2024-11-24,Bryant,St. Bonaventure,149.5,149.5,149.6,154.6,155,0.8122,0.9444,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241124_Cal St. Bakersfield_Northeastern,2024-11-24,Cal St. Bakersfield,Northeastern,133.0,132.5,133.2,133.5,128,0.5451,0.5221,MyBookie,-110.0,1.912,9.12,MyBookie,-110.0,1.912,9.12
20241124_Cal St. Northridge_Utah Tech,2024-11-24,Cal St. Northridge,Utah Tech,154.5,154.5,154.5,156.5,168,0.662,0.7002,MyBookie,-108.0,1.928,9.28,Betonline,-110.0,1.909,9.09
20241124_California_Sacramento St.,2024-11-24,California,Sacramento St.,139.5,139.5,139.7,144.7,160,0.8469,0.9632,Bovada,-105.0,1.952,9.52,MyBookie,-109.0,1.915,9.15
20241124_Campbell_Evansville,2024-11-24,Campbell,Evansville,144.5,144.5,144.5,145.9,119,0.5829,0.6903,MyBookie,-109.0,1.915,9.15,Betonline,-110.0,1.909,9.09
20241124_Central Arkansas_UNC Asheville,2024-11-24,Central Arkansas,UNC Asheville,144.5,144.5,144.4,146.0,175,0.6218,0.6178,MyBookie,-108.0,1.926,9.26,Betonline,-110.0,1.909,9.09
20241124_Denver_Montana,2024-11-24,Denver,Montana,150.5,150.5,150.5,157.7,156,0.8964,0.9908,MyBookie,-112.0,1.892,8.92,Betonline,-105.0,1.952,9.52
20241124_Drake_Vanderbilt,2024-11-24,Drake,Vanderbilt,142.5,142.5,142.8,145.1,151,0.7015,0.7403,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.928,9.28
20241124_Duquesne_South Dakota St.,2024-11-24,Duquesne,South Dakota St.,146.5,147.5,146.6,147.1,131,0.5462,0.5018,Bovada,-110.0,1.909,9.09,Betonline,-108.0,1.926,9.26
20241124_Eastern Illinois_Valparaiso,2024-11-24,Eastern Illinois,Valparaiso,141.0,141.5,141.3,145.1,134,0.7941,0.9175,MyBookie,-110.0,1.912,9.12,MyBookie,-110.0,1.912,9.12
20241124_FIU_Florida Gulf Coast,2024-11-24,FIU,Florida Gulf Coast,135.0,135.5,134.9,138.8,119,0.7759,0.9014,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241124_Florida Atlantic_Seton Hall,2024-11-24,Florida Atlantic,Seton Hall,137.5,136.5,137.1,140.4,124,0.6801,0.7469,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241124_Florida St._Massachusetts,2024-11-24,Florida St.,Massachusetts,150.0,149.0,149.6,156.5,151,0.8918,0.9898,MyBookie,-109.0,1.915,9.15,MyBookie,-110.0,1.909,9.09
20241124_Georgia_St. John's,2024-11-24,Georgia,St. John's,151.5,152.0,151.4,153.6,129,0.6553,0.7165,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241124_Grambling St._USC,2024-11-24,Grambling St.,USC,139.5,140.0,139.8,141.0,149,0.6197,0.6333,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.919,9.19
20241124_Idaho_San Diego,2024-11-24,Idaho,San Diego,146.0,146.5,146.3,146.9,129,0.5757,0.5477,MyBookie,-110.0,1.909,9.09,MyBookie,-110.0,1.909,9.09
20241124_Jackson St._Lipscomb,2024-11-24,Jackson St.,Lipscomb,149.0,148.5,148.7,152.8,130,0.7722,0.927,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241124_Kansas St._Liberty,2024-11-24,Kansas St.,Liberty,134.0,134.5,134.2,135.1,132,0.589,0.6135,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241124_Kennesaw St._Rutgers,2024-11-24,Kennesaw St.,Rutgers,157.0,157.5,157.3,162.8,156,0.8544,0.9568,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241124_Lamar_Nebraska Omaha,2024-11-24,Lamar,Nebraska Omaha,153.0,153.0,153.0,156.0,124,0.7289,0.8679,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.918,9.18
20241124_LSU_UCF,2024-11-24,LSU,UCF,146.0,145.5,146.1,148.4,211,0.6834,0.6775,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241124_Miami FL_VCU,2024-11-24,Miami FL,VCU,147.0,146.0,146.6,146.9,147,0.4887,0.5596,Bovada,-105.0,1.952,9.52,MyBookie,-111.0,1.902,9.02
20241124_Morgan St._Towson,2024-11-24,Morgan St.,Towson,143.5,143.5,143.5,146.5,124,0.727,0.7691,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241124_New Mexico_Texas Southern,2024-11-24,New Mexico,Texas Southern,156.5,156.0,156.7,163.7,167,0.9117,0.9899,Bovada,-110.0,1.909,9.09,Betonline,-103.0,1.971,9.71
20241124_South Florida_Wright St.,2024-11-24,South Florida,Wright St.,155.0,155.5,155.1,160.2,145,0.8396,0.9515,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241125_Abilene Christian_Southern Miss,2024-11-25,Abilene Christian,Southern Miss,147.5,146.5,146.5,148.6,156,0.5909,0.5928,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
